x: 87.23, y: 227.23, r: 0.46, g: 0.31, b: 0.48
x: 82.22, y: 223.23, r: 0.46, g: 0.31, b: 0.48
x: 77.22, y: 221.23, r: 0.46, g: 0.31, b: 0.48
x: 71.22, y: 219.23, r: 0.46, g: 0.31, b: 0.48
x: 67.22, y: 219.23, r: 0.46, g: 0.31, b: 0.48
x: 66.22, y: 219.23, r: 0.46, g: 0.31, b: 0.48
x: 63.23, y: 219.23, r: 0.46, g: 0.31, b: 0.48
x: 59.23, y: 219.23, r: 0.46, g: 0.31, b: 0.48
x: 54.23, y: 220.23, r: 0.46, g: 0.31, b: 0.48
x: 49.23, y: 221.23, r: 0.46, g: 0.31, b: 0.48
x: 46.23, y: 222.24, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 224.24, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 226.24, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 228.24, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 229.23, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 230.23, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 231.23, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 232.23, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 233.24, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 235.24, r: 0.46, g: 0.31, b: 0.48
x: 45.23, y: 236.23, r: 0.46, g: 0.31, b: 0.48
x: 46.23, y: 240.23, r: 0.46, g: 0.31, b: 0.48
x: 47.23, y: 243.23, r: 0.46, g: 0.31, b: 0.48
x: 48.23, y: 246.24, r: 0.46, g: 0.31, b: 0.48
x: 49.23, y: 248.23, r: 0.46, g: 0.31, b: 0.48
x: 51.23, y: 250.23, r: 0.46, g: 0.31, b: 0.48
x: 52.23, y: 253.24, r: 0.46, g: 0.31, b: 0.48
x: 54.23, y: 254.23, r: 0.46, g: 0.31, b: 0.48
x: 56.23, y: 256.23, r: 0.46, g: 0.31, b: 0.48
x: 59.23, y: 260.23, r: 0.46, g: 0.31, b: 0.48
x: 60.23, y: 262.23, r: 0.46, g: 0.31, b: 0.48
x: 64.21, y: 268.23, r: 0.46, g: 0.31, b: 0.48
x: 66.22, y: 270.23, r: 0.46, g: 0.31, b: 0.48
x: 67.22, y: 273.24, r: 0.46, g: 0.31, b: 0.48
x: 68.22, y: 274.23, r: 0.46, g: 0.31, b: 0.48
x: 70.22, y: 274.23, r: 0.46, g: 0.31, b: 0.48
x: 74.22, y: 276.23, r: 0.46, g: 0.31, b: 0.48
x: 79.22, y: 278.23, r: 0.46, g: 0.31, b: 0.48
x: 86.22, y: 281.23, r: 0.46, g: 0.31, b: 0.48
x: 95.23, y: 284.24, r: 0.46, g: 0.31, b: 0.48
x: 99.23, y: 285.23, r: 0.46, g: 0.31, b: 0.48
x: 100.23, y: 285.23, r: 0.46, g: 0.31, b: 0.48
x: 101.23, y: 286.24, r: 0.46, g: 0.31, b: 0.48
x: 102.23, y: 286.24, r: 0.46, g: 0.31, b: 0.48
x: 102.23, y: 287.23, r: 0.46, g: 0.31, b: 0.48
x: 98.23, y: 237.24, r: 0.46, g: 0.31, b: 0.48
x: 99.23, y: 236.23, r: 0.46, g: 0.31, b: 0.48
x: 99.23, y: 235.24, r: 0.46, g: 0.31, b: 0.48
x: 101.23, y: 230.23, r: 0.46, g: 0.31, b: 0.48
x: 101.23, y: 225.23, r: 0.46, g: 0.31, b: 0.48
x: 102.23, y: 224.24, r: 0.46, g: 0.31, b: 0.48
x: 103.23, y: 224.24, r: 0.46, g: 0.31, b: 0.48
x: 104.23, y: 223.23, r: 0.46, g: 0.31, b: 0.48
x: 106.21, y: 220.23, r: 0.46, g: 0.31, b: 0.48
x: 108.21, y: 218.23, r: 0.46, g: 0.31, b: 0.48
x: 109.21, y: 216.23, r: 0.46, g: 0.31, b: 0.48
x: 113.22, y: 215.24, r: 0.46, g: 0.31, b: 0.48
x: 117.22, y: 214.23, r: 0.46, g: 0.31, b: 0.48
x: 123.22, y: 214.23, r: 0.46, g: 0.31, b: 0.48
x: 126.22, y: 214.23, r: 0.46, g: 0.31, b: 0.48
x: 129.22, y: 214.23, r: 0.46, g: 0.31, b: 0.48
x: 130.22, y: 214.23, r: 0.46, g: 0.31, b: 0.48
x: 132.23, y: 215.24, r: 0.46, g: 0.31, b: 0.48
x: 132.23, y: 216.23, r: 0.46, g: 0.31, b: 0.48
x: 134.23, y: 218.23, r: 0.46, g: 0.31, b: 0.48
x: 135.23, y: 220.23, r: 0.46, g: 0.31, b: 0.48
x: 136.23, y: 223.23, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 227.23, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 229.23, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 232.23, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 235.24, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 237.24, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 240.23, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 242.23, r: 0.46, g: 0.31, b: 0.48
x: 137.23, y: 246.24, r: 0.46, g: 0.31, b: 0.48
x: 136.23, y: 251.23, r: 0.46, g: 0.31, b: 0.48
x: 135.23, y: 254.23, r: 0.46, g: 0.31, b: 0.48
x: 133.23, y: 258.23, r: 0.46, g: 0.31, b: 0.48
x: 131.23, y: 262.23, r: 0.46, g: 0.31, b: 0.48
x: 130.22, y: 263.23, r: 0.46, g: 0.31, b: 0.48
x: 128.22, y: 266.24, r: 0.46, g: 0.31, b: 0.48
x: 123.22, y: 270.23, r: 0.46, g: 0.31, b: 0.48
x: 120.22, y: 274.23, r: 0.46, g: 0.31, b: 0.48
x: 118.22, y: 276.23, r: 0.46, g: 0.31, b: 0.48
x: 116.22, y: 278.23, r: 0.46, g: 0.31, b: 0.48
x: 115.22, y: 280.23, r: 0.46, g: 0.31, b: 0.48
x: 113.22, y: 282.23, r: 0.46, g: 0.31, b: 0.48
x: 112.22, y: 285.23, r: 0.46, g: 0.31, b: 0.48
x: 110.22, y: 285.23, r: 0.46, g: 0.31, b: 0.48
x: 110.22, y: 287.23, r: 0.46, g: 0.31, b: 0.48
x: 109.21, y: 288.23, r: 0.46, g: 0.31, b: 0.48
x: 109.21, y: 289.23, r: 0.46, g: 0.31, b: 0.48
